year,BUYER_COUNTY,BUYER_STATE,opioid_converted_grams,FIPS,population
2006.0,ATHENS,OH,25211.834525950002,39009,63136.0
2006.0,ATKINSON,GA,1375.483686,13003,8049.0
2006.0,ATLANTIC,NJ,115258.3818608,34001,269495.0
2006.0,ATOKA,OK,3283.3372665,40005,14308.0
2006.0,ATTALA,MS,4141.7795160000005,28007,19466.0
2006.0,AUDRAIN,MO,4006.0331545,29007,25941.0
2006.0,AUDUBON,IA,409.70055,19009,6179.0
2006.0,AUGLAIZE,OH,5908.711449125,39011,46512.0
2006.0,AUGUSTA,VA,10855.2363615,51015,70603.0
2006.0,AUSTIN,TX,3229.9167625,48015,26139.0
2006.0,AUTAUGA,AL,17100.54222475,01001,49105.0
2006.0,AVERY,NC,7790.9282570000005,37011,17994.0
2006.0,AVOYELLES,LA,11049.506649500001,22009,42384.0
2006.0,BACA,CO,632.3328750000001,08009,3912.0
2006.0,BACON,GA,4586.778211,13005,10345.0
2006.0,BAILEY,TX,542.365185,48017,6422.0
2006.0,BAKER,FL,11900.1786375,12003,25021.0
2006.0,BAKER,GA,9.6516,13007,3902.0
2006.0,BAKER,OR,6465.9965489999995,41001,15989.0
2006.0,BALDWIN,AL,51039.829050325,01003,168516.0
2006.0,BALDWIN,GA,11069.7050103625,13009,45754.0
2006.0,BALLARD,KY,1348.3338775,21007,8169.0
2006.0,BALTIMORE,MD,264986.2543790625,24005,785900.0
2006.0,BALTIMORECITY,MD,213281.69277685002,24510,640961.0
2006.0,BAMBERG,SC,2997.5212455,45009,15604.0
2006.0,BANDERA,TX,1658.367135,48019,19821.0
2006.0,BANKS,GA,2454.1627150000004,13011,16121.0
2006.0,BANNOCK,ID,15054.316384000002,16005,79524.0
2006.0,BARAGA,MI,1850.359785,26013,8722.0
2006.0,BARBER,KS,1041.1411125000002,20007,4820.0
2006.0,BARBOUR,AL,5764.0191225,01005,29556.0
2006.0,BARBOUR,WV,3220.1487452250003,54001,15434.0
2006.0,BARCELONETA,PR,497.8689375,72017,
2006.0,BARNES,ND,1792.0892895,38003,10894.0
2006.0,BARNSTABLE,MA,84944.65469865,25001,223351.0
2006.0,BARNWELL,SC,6603.7931735,45011,22969.0
2006.0,BARRANQUITAS,PR,608.4113500000001,72019,
2006.0,BARREN,KY,13194.8540163625,21009,40510.0
